date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2020-01-01;2020;1;1;2;1;1;False;False;False
2020-01-02;2020;1;2;3;2;1;False;False;False
2020-01-03;2020;1;3;4;3;1;False;False;False
2020-01-04;2020;1;4;5;4;1;True;False;False
2020-01-05;2020;1;5;6;5;1;True;False;False
2020-01-06;2020;1;6;0;6;2;False;False;False
2020-01-07;2020;1;7;1;7;2;False;False;False
2020-01-08;2020;1;8;2;8;2;False;False;False
2020-01-09;2020;1;9;3;9;2;False;False;False
2020-01-10;2020;1;10;4;10;2;False;False;False
2020-01-11;2020;1;11;5;11;2;True;False;False
2020-01-12;2020;1;12;6;12;2;True;False;False
2020-01-13;2020;1;13;0;13;3;False;False;False
2020-01-14;2020;1;14;1;14;3;False;False;False
2020-01-15;2020;1;15;2;15;3;False;False;False
2020-01-16;2020;1;16;3;16;3;False;False;False
2020-01-17;2020;1;17;4;17;3;False;False;False
2020-01-18;2020;1;18;5;18;3;True;False;False
2020-01-19;2020;1;19;6;19;3;True;False;False
2020-01-20;2020;1;20;0;20;4;False;False;False
2020-01-21;2020;1;21;1;21;4;False;False;False
2020-01-22;2020;1;22;2;22;4;False;False;False
2020-01-23;2020;1;23;3;23;4;False;False;False
2020-01-24;2020;1;24;4;24;4;False;False;False
2020-01-25;2020;1;25;5;25;4;True;False;False
2020-01-26;2020;1;26;6;26;4;True;False;False
2020-01-27;2020;1;27;0;27;5;False;False;False
2020-01-28;2020;1;28;1;28;5;False;False;False
2020-01-29;2020;1;29;2;29;5;False;False;False
2020-01-30;2020;1;30;3;30;5;False;False;False
2020-01-31;2020;1;31;4;31;5;False;False;False
2020-02-01;2020;2;1;5;32;5;True;False;False
2020-02-02;2020;2;2;6;33;5;True;False;False
2020-02-03;2020;2;3;0;34;6;False;False;False
2020-02-04;2020;2;4;1;35;6;False;False;False
2020-02-05;2020;2;5;2;36;6;False;False;False
2020-02-06;2020;2;6;3;37;6;False;False;False
2020-02-07;2020;2;7;4;38;6;False;False;False
2020-02-08;2020;2;8;5;39;6;True;False;False
2020-02-09;2020;2;9;6;40;6;True;False;False
2020-02-10;2020;2;10;0;41;7;False;False;False
2020-02-11;2020;2;11;1;42;7;False;False;False
2020-02-12;2020;2;12;2;43;7;False;False;False
2020-02-13;2020;2;13;3;44;7;False;False;False
2020-02-14;2020;2;14;4;45;7;False;False;False
2020-02-15;2020;2;15;5;46;7;True;False;False
2020-02-16;2020;2;16;6;47;7;True;False;False
2020-02-17;2020;2;17;0;48;8;False;False;False
2020-02-18;2020;2;18;1;49;8;False;False;False
2020-02-19;2020;2;19;2;50;8;False;False;False
2020-02-20;2020;2;20;3;51;8;False;False;False
2020-02-21;2020;2;21;4;52;8;False;False;False
2020-02-22;2020;2;22;5;53;8;True;False;False
2020-02-23;2020;2;23;6;54;8;True;False;False
2020-02-24;2020;2;24;0;55;9;False;False;False
2020-02-25;2020;2;25;1;56;9;False;False;False
2020-02-26;2020;2;26;2;57;9;False;False;False
2020-02-27;2020;2;27;3;58;9;False;False;False
2020-02-28;2020;2;28;4;59;9;False;False;False
2020-02-29;2020;2;29;5;60;9;True;False;False
2020-03-01;2020;3;1;6;61;9;True;False;False
2020-03-02;2020;3;2;0;62;10;False;False;False
2020-03-03;2020;3;3;1;63;10;False;False;False
2020-03-04;2020;3;4;2;64;10;False;False;False
2020-03-05;2020;3;5;3;65;10;False;False;False
2020-03-06;2020;3;6;4;66;10;False;False;False
2020-03-07;2020;3;7;5;67;10;True;False;False
2020-03-08;2020;3;8;6;68;10;True;False;False
2020-03-09;2020;3;9;0;69;11;False;False;False
2020-03-10;2020;3;10;1;70;11;False;False;False
2020-03-11;2020;3;11;2;71;11;False;False;False
2020-03-12;2020;3;12;3;72;11;False;False;False
2020-03-13;2020;3;13;4;73;11;False;False;False
2020-03-14;2020;3;14;5;74;11;True;False;False
2020-03-15;2020;3;15;6;75;11;True;False;False
2020-03-16;2020;3;16;0;76;12;False;False;False
2020-03-17;2020;3;17;1;77;12;False;False;False
2020-03-18;2020;3;18;2;78;12;False;False;False
2020-03-19;2020;3;19;3;79;12;False;False;False
2020-03-20;2020;3;20;4;80;12;False;False;False
2020-03-21;2020;3;21;5;81;12;True;False;False
2020-03-22;2020;3;22;6;82;12;True;False;False
2020-03-23;2020;3;23;0;83;13;False;False;False
2020-03-24;2020;3;24;1;84;13;False;False;False
2020-03-25;2020;3;25;2;85;13;False;False;False
2020-03-26;2020;3;26;3;86;13;False;False;False
2020-03-27;2020;3;27;4;87;13;False;False;False
2020-03-28;2020;3;28;5;88;13;True;False;False
2020-03-29;2020;3;29;6;89;13;True;False;False
2020-03-30;2020;3;30;0;90;14;False;False;False
2020-03-31;2020;3;31;1;91;14;False;False;False
2020-04-01;2020;4;1;2;92;14;False;False;False
2020-04-02;2020;4;2;3;93;14;False;False;False
2020-04-03;2020;4;3;4;94;14;False;False;False
2020-04-04;2020;4;4;5;95;14;True;False;False
2020-04-05;2020;4;5;6;96;14;True;False;False
2020-04-06;2020;4;6;0;97;15;False;False;False
2020-04-07;2020;4;7;1;98;15;False;False;False
2020-04-08;2020;4;8;2;99;15;False;False;False
2020-04-09;2020;4;9;3;100;15;False;False;False
2020-04-10;2020;4;10;4;101;15;False;False;False
2020-04-11;2020;4;11;5;102;15;True;False;False
2020-04-12;2020;4;12;6;103;15;True;False;False
2020-04-13;2020;4;13;0;104;16;False;False;False
2020-04-14;2020;4;14;1;105;16;False;False;False
2020-04-15;2020;4;15;2;106;16;False;False;False
2020-04-16;2020;4;16;3;107;16;False;False;False
2020-04-17;2020;4;17;4;108;16;False;False;False
2020-04-18;2020;4;18;5;109;16;True;False;False
2020-04-19;2020;4;19;6;110;16;True;False;False
2020-04-20;2020;4;20;0;111;17;False;False;False
2020-04-21;2020;4;21;1;112;17;False;False;False
2020-04-22;2020;4;22;2;113;17;False;False;False
2020-04-23;2020;4;23;3;114;17;False;False;False
2020-04-24;2020;4;24;4;115;17;False;False;False
2020-04-25;2020;4;25;5;116;17;True;False;False
2020-04-26;2020;4;26;6;117;17;True;False;False
2020-04-27;2020;4;27;0;118;18;False;False;False
2020-04-28;2020;4;28;1;119;18;False;False;False
2020-04-29;2020;4;29;2;120;18;False;False;False
2020-04-30;2020;4;30;3;121;18;False;False;False
2020-05-01;2020;5;1;4;122;18;False;False;False
2020-05-02;2020;5;2;5;123;18;True;False;False
2020-05-03;2020;5;3;6;124;18;True;False;False
2020-05-04;2020;5;4;0;125;19;False;False;False
2020-05-05;2020;5;5;1;126;19;False;False;False
2020-05-06;2020;5;6;2;127;19;False;False;False
2020-05-07;2020;5;7;3;128;19;False;False;False
2020-05-08;2020;5;8;4;129;19;False;False;False
2020-05-09;2020;5;9;5;130;19;True;False;False
2020-05-10;2020;5;10;6;131;19;True;False;False
2020-05-11;2020;5;11;0;132;20;False;False;False
2020-05-12;2020;5;12;1;133;20;False;False;False
2020-05-13;2020;5;13;2;134;20;False;False;False
2020-05-14;2020;5;14;3;135;20;False;False;False
2020-05-15;2020;5;15;4;136;20;False;False;False
2020-05-16;2020;5;16;5;137;20;True;False;False
2020-05-17;2020;5;17;6;138;20;True;False;False
2020-05-18;2020;5;18;0;139;21;False;False;False
2020-05-19;2020;5;19;1;140;21;False;False;False
2020-05-20;2020;5;20;2;141;21;False;False;False
2020-05-21;2020;5;21;3;142;21;False;False;False
2020-05-22;2020;5;22;4;143;21;False;False;False
2020-05-23;2020;5;23;5;144;21;True;False;False
2020-05-24;2020;5;24;6;145;21;True;False;True
2020-05-25;2020;5;25;0;146;22;False;False;True
2020-05-26;2020;5;26;1;147;22;False;False;True
2020-05-27;2020;5;27;2;148;22;False;False;False
2020-05-28;2020;5;28;3;149;22;False;False;False
2020-05-29;2020;5;29;4;150;22;False;False;False
2020-05-30;2020;5;30;5;151;22;True;False;False
2020-05-31;2020;5;31;6;152;22;True;False;False
2020-06-01;2020;6;1;0;153;23;False;True;False
2020-06-02;2020;6;2;1;154;23;False;True;False
2020-06-03;2020;6;3;2;155;23;False;True;False
2020-06-04;2020;6;4;3;156;23;False;True;False
2020-06-05;2020;6;5;4;157;23;False;True;False
2020-06-06;2020;6;6;5;158;23;True;True;False
2020-06-07;2020;6;7;6;159;23;True;True;False
2020-06-08;2020;6;8;0;160;24;False;True;False
2020-06-09;2020;6;9;1;161;24;False;True;False
2020-06-10;2020;6;10;2;162;24;False;True;False
2020-06-11;2020;6;11;3;163;24;False;True;False
2020-06-12;2020;6;12;4;164;24;False;True;False
2020-06-13;2020;6;13;5;165;24;True;True;False
2020-06-14;2020;6;14;6;166;24;True;True;False
2020-06-15;2020;6;15;0;167;25;False;True;False
2020-06-16;2020;6;16;1;168;25;False;True;False
2020-06-17;2020;6;17;2;169;25;False;True;False
2020-06-18;2020;6;18;3;170;25;False;True;False
2020-06-19;2020;6;19;4;171;25;False;True;False
2020-06-20;2020;6;20;5;172;25;True;True;False
2020-06-21;2020;6;21;6;173;25;True;True;False
2020-06-22;2020;6;22;0;174;26;False;True;False
2020-06-23;2020;6;23;1;175;26;False;True;False
2020-06-24;2020;6;24;2;176;26;False;True;False
2020-06-25;2020;6;25;3;177;26;False;True;False
2020-06-26;2020;6;26;4;178;26;False;True;False
2020-06-27;2020;6;27;5;179;26;True;True;False
2020-06-28;2020;6;28;6;180;26;True;True;False
2020-06-29;2020;6;29;0;181;27;False;True;False
2020-06-30;2020;6;30;1;182;27;False;True;False
2020-07-01;2020;7;1;2;183;27;False;True;False
2020-07-02;2020;7;2;3;184;27;False;True;False
2020-07-03;2020;7;3;4;185;27;False;True;False
2020-07-04;2020;7;4;5;186;27;True;True;False
2020-07-05;2020;7;5;6;187;27;True;True;False
2020-07-06;2020;7;6;0;188;28;False;True;False
2020-07-07;2020;7;7;1;189;28;False;True;False
2020-07-08;2020;7;8;2;190;28;False;True;False
2020-07-09;2020;7;9;3;191;28;False;True;False
2020-07-10;2020;7;10;4;192;28;False;True;False
2020-07-11;2020;7;11;5;193;28;True;True;False
2020-07-12;2020;7;12;6;194;28;True;True;False
2020-07-13;2020;7;13;0;195;29;False;True;False
2020-07-14;2020;7;14;1;196;29;False;True;False
2020-07-15;2020;7;15;2;197;29;False;True;False
2020-07-16;2020;7;16;3;198;29;False;True;False
2020-07-17;2020;7;17;4;199;29;False;True;False
2020-07-18;2020;7;18;5;200;29;True;True;False
2020-07-19;2020;7;19;6;201;29;True;True;False
2020-07-20;2020;7;20;0;202;30;False;True;False
2020-07-21;2020;7;21;1;203;30;False;True;False
2020-07-22;2020;7;22;2;204;30;False;True;False
2020-07-23;2020;7;23;3;205;30;False;True;False
2020-07-24;2020;7;24;4;206;30;False;True;False
2020-07-25;2020;7;25;5;207;30;True;True;False
2020-07-26;2020;7;26;6;208;30;True;True;False
2020-07-27;2020;7;27;0;209;31;False;True;False
2020-07-28;2020;7;28;1;210;31;False;True;False
2020-07-29;2020;7;29;2;211;31;False;True;False
2020-07-30;2020;7;30;3;212;31;False;True;False
2020-07-31;2020;7;31;4;213;31;False;True;False
2020-08-01;2020;8;1;5;214;31;True;True;False
2020-08-02;2020;8;2;6;215;31;True;True;False
2020-08-03;2020;8;3;0;216;32;False;True;False
2020-08-04;2020;8;4;1;217;32;False;True;False
2020-08-05;2020;8;5;2;218;32;False;True;False
2020-08-06;2020;8;6;3;219;32;False;True;False
2020-08-07;2020;8;7;4;220;32;False;True;False
2020-08-08;2020;8;8;5;221;32;True;True;False
2020-08-09;2020;8;9;6;222;32;True;True;False
2020-08-10;2020;8;10;0;223;33;False;True;False
2020-08-11;2020;8;11;1;224;33;False;True;False
2020-08-12;2020;8;12;2;225;33;False;True;False
2020-08-13;2020;8;13;3;226;33;False;True;False
2020-08-14;2020;8;14;4;227;33;False;True;False
2020-08-15;2020;8;15;5;228;33;True;True;False
2020-08-16;2020;8;16;6;229;33;True;True;False
2020-08-17;2020;8;17;0;230;34;False;True;False
2020-08-18;2020;8;18;1;231;34;False;True;False
2020-08-19;2020;8;19;2;232;34;False;True;False
2020-08-20;2020;8;20;3;233;34;False;True;False
2020-08-21;2020;8;21;4;234;34;False;True;False
2020-08-22;2020;8;22;5;235;34;True;True;False
2020-08-23;2020;8;23;6;236;34;True;True;False
2020-08-24;2020;8;24;0;237;35;False;True;False
2020-08-25;2020;8;25;1;238;35;False;True;False
2020-08-26;2020;8;26;2;239;35;False;True;False
2020-08-27;2020;8;27;3;240;35;False;True;False
2020-08-28;2020;8;28;4;241;35;False;True;False
2020-08-29;2020;8;29;5;242;35;True;True;False
2020-08-30;2020;8;30;6;243;35;True;True;False
2020-08-31;2020;8;31;0;244;36;False;True;False
2020-09-01;2020;9;1;1;245;36;False;False;False
2020-09-02;2020;9;2;2;246;36;False;False;False
2020-09-03;2020;9;3;3;247;36;False;False;False
2020-09-04;2020;9;4;4;248;36;False;False;False
2020-09-05;2020;9;5;5;249;36;True;False;False
2020-09-06;2020;9;6;6;250;36;True;False;False
2020-09-07;2020;9;7;0;251;37;False;False;False
2020-09-08;2020;9;8;1;252;37;False;False;False
2020-09-09;2020;9;9;2;253;37;False;False;False
2020-09-10;2020;9;10;3;254;37;False;False;False
2020-09-11;2020;9;11;4;255;37;False;False;False
2020-09-12;2020;9;12;5;256;37;True;False;False
2020-09-13;2020;9;13;6;257;37;True;False;False
2020-09-14;2020;9;14;0;258;38;False;False;False
2020-09-15;2020;9;15;1;259;38;False;False;False
2020-09-16;2020;9;16;2;260;38;False;False;False
2020-09-17;2020;9;17;3;261;38;False;False;False
2020-09-18;2020;9;18;4;262;38;False;False;False
2020-09-19;2020;9;19;5;263;38;True;False;False
2020-09-20;2020;9;20;6;264;38;True;False;False
2020-09-21;2020;9;21;0;265;39;False;False;False
2020-09-22;2020;9;22;1;266;39;False;False;False
2020-09-23;2020;9;23;2;267;39;False;False;False
2020-09-24;2020;9;24;3;268;39;False;False;False
2020-09-25;2020;9;25;4;269;39;False;False;False
2020-09-26;2020;9;26;5;270;39;True;False;False
2020-09-27;2020;9;27;6;271;39;True;False;False
2020-09-28;2020;9;28;0;272;40;False;False;False
2020-09-29;2020;9;29;1;273;40;False;False;False
2020-09-30;2020;9;30;2;274;40;False;False;False
2020-10-01;2020;10;1;3;275;40;False;False;False
2020-10-02;2020;10;2;4;276;40;False;False;False
2020-10-03;2020;10;3;5;277;40;True;False;False
2020-10-04;2020;10;4;6;278;40;True;False;False
2020-10-05;2020;10;5;0;279;41;False;False;False
2020-10-06;2020;10;6;1;280;41;False;False;False
2020-10-07;2020;10;7;2;281;41;False;False;False
2020-10-08;2020;10;8;3;282;41;False;False;False
2020-10-09;2020;10;9;4;283;41;False;False;False
2020-10-10;2020;10;10;5;284;41;True;False;False
2020-10-11;2020;10;11;6;285;41;True;False;False
2020-10-12;2020;10;12;0;286;42;False;False;False
2020-10-13;2020;10;13;1;287;42;False;False;False
2020-10-14;2020;10;14;2;288;42;False;False;False
2020-10-15;2020;10;15;3;289;42;False;False;False
2020-10-16;2020;10;16;4;290;42;False;False;False
2020-10-17;2020;10;17;5;291;42;True;False;False
2020-10-18;2020;10;18;6;292;42;True;False;False
2020-10-19;2020;10;19;0;293;43;False;False;False
2020-10-20;2020;10;20;1;294;43;False;False;False
