id;longitude;latitude;elevation
9_0;2.599.963.974.489.940;3.824.976.576.207.710;128
10_0;2.599.963.974.489.940;3.850.039.572.634.640;518
13_0;2.599.963.974.489.940;3.924.986.016.788.730;75
20_0;2.599.963.974.489.940;4.100.022.749.899.420;193
21_0;2.599.963.974.489.940;4.125.004.897.950.790;348
22_0;2.599.963.974.489.940;4.149.987.046.002.150;476
23_0;2.599.963.974.489.940;41.749.691.940.535.100;400
24_0;2.599.963.974.489.940;4.200.032.190.480.450;274
25_0;2.599.963.974.489.940;4.225.014.338.531.810;105
26_0;2.599.963.974.489.940;4.249.996.486.583.180;134
40_0;26.250.269.709.168.700;3.924.986.016.788.730;69
41_0;26.250.269.709.168.700;3.949.968.164.840.100;259
42_0;26.250.269.709.168.700;3.975.031.161.267.030;170
46_0;26.250.269.709.168.700;4.074.959.753.472.490;223
47_0;26.250.269.709.168.700;4.100.022.749.899.420;20
48_0;26.250.269.709.168.700;4.125.004.897.950.790;183
49_0;26.250.269.709.168.700;4.149.987.046.002.150;170
50_0;26.250.269.709.168.700;41.749.691.940.535.100;121
51_0;26.250.269.709.168.700;4.200.032.190.480.450;674
52_0;26.250.269.709.168.700;4.225.014.338.531.810;202
53_0;26.250.269.709.168.700;4.249.996.486.583.180;170
63_0;26.500.091.189.682.300;3.824.976.576.207.710;69
64_0;26.500.091.189.682.300;3.850.039.572.634.640;717
66_0;26.500.091.189.682.300;3.900.003.868.737.370;102
69_0;26.500.091.189.682.300;3.975.031.161.267.030;150
70_0;26.500.091.189.682.300;40.000.133.093.184.000;386
73_0;26.500.091.189.682.300;4.074.959.753.472.490;123
74_0;26.500.091.189.682.300;4.100.022.749.899.420;82
75_0;26.500.091.189.682.300;4.125.004.897.950.790;111
76_0;26.500.091.189.682.300;4.149.987.046.002.150;37
77_0;26.500.091.189.682.300;41.749.691.940.535.100;109
78_0;26.500.091.189.682.300;4.200.032.190.480.450;158
79_0;26.500.091.189.682.300;4.225.014.338.531.810;176
80_0;26.500.091.189.682.300;4.249.996.486.583.180;129
88_0;2.674.991.267.019.600;3.775.012.280.104.980;379
90_0;2.674.991.267.019.600;3.824.976.576.207.710;48
94_0;2.674.991.267.019.600;3.924.986.016.788.730;7
96_0;2.674.991.267.019.600;3.975.031.161.267.030;312
97_0;2.674.991.267.019.600;40.000.133.093.184.000;437
