latitude;longitude;bright_ti4;acq_date;acq_time;confidence;frp;type
36.78756;35.4845;329.83;2022-01-01;1106;n;'3.18;0
36.8487;35.18095;338.59;2022-01-01;1106;n;'3.51;0
36.81744;35.07846;327.6;2022-01-01;1106;n;'3.97;0
37.43748;35.95885;325.14;2022-01-01;1107;n;'2.62;0
38.74475;26.94808;303.86;2022-01-01;2327;n;'2.39;2
38.13914;27.37314;309.09;2022-01-01;2327;n;'0.92;0
36.7351;36.20712;325.91;2022-01-01;2327;n;'1.89;2
36.74628;36.20104;304.42;2022-01-01;2327;n;'1.63;2
36.74696;36.19679;327.64;2022-01-01;2327;n;'1.63;2
36.7501;36.21967;297.27;2022-01-01;2327;n;'0.45;2
38.75435;26.94915;306.53;2022-01-01;2327;n;'1.71;2
38.13641;27.37264;307.87;2022-01-01;2327;n;'1.70;0
36.93198;36.00021;297.8;2022-01-01;2327;n;'0.76;2
36.73114;36.21056;323.08;2022-01-01;2327;n;'1.76;2
36.73046;36.21482;299.02;2022-01-01;2327;n;'1.76;2
36.72787;36.20975;298.27;2022-01-01;2327;n;'0.45;2
36.71941;36.19882;322.33;2022-01-01;2327;n;'1.94;2
36.71872;36.20307;321.49;2022-01-01;2327;n;'1.94;2
36.86964;34.76067;297.15;2022-01-01;2327;n;'0.71;2
37.13267;40.49991;327.07;2022-01-02;1047;n;'2.26;0
38.46153;30.3093;334.85;2022-01-02;1048;n;'4.79;0
40.15636;34.05478;327.31;2022-01-02;1048;n;'1.93;0
41.1755;32.63009;296.23;2022-01-02;2307;n;'2.25;2
40.80238;29.37591;295.54;2022-01-02;2307;n;'0.51;2
40.78016;29.5982;295.84;2022-01-02;2307;n;'0.82;2
40.24511;29.92245;298.29;2022-01-02;2307;n;'0.65;2
39.83589;30.29801;304.72;2022-01-02;2307;n;'1.11;2
39.86978;26.23913;299.78;2022-01-02;2307;n;'1.32;2
38.45359;38.7281;303.8;2022-01-02;2307;n;'0.66;2
38.65165;39.77036;323.9;2022-01-02;2307;n;'2.83;2
38.65497;39.77115;330.3;2022-01-02;2307;n;'2.65;2
39.86917;26.23842;300.57;2022-01-02;2307;n;'1.39;2
41.26713;31.42084;297.53;2022-01-02;2307;n;'1.64;2
41.26666;31.42844;301.9;2022-01-02;2307;n;'1.64;2
41.2576;31.41205;298.33;2022-01-02;2307;n;'1.34;2
40.80174;29.37351;298.13;2022-01-02;2307;n;'0.76;2
36.74721;36.19769;301.82;2022-01-02;2308;n;'0.83;2
36.26501;33.72935;305.39;2022-01-02;2308;n;'1.00;2
36.87165;34.76279;299.77;2022-01-02;2308;n;'1.05;2
36.71797;36.20218;326.85;2022-01-02;2308;n;'4.09;2
36.73203;36.2103;320.11;2022-01-02;2308;n;'3.26;2
36.73058;36.21125;315.81;2022-01-02;2308;n;'2.61;2
37.02195;36.11142;296.98;2022-01-02;2308;n;'1.33;2
37.01646;36.09375;296.33;2022-01-02;2308;n;'0.72;2
36.7994;37.01902;304.05;2022-01-02;2308;n;'1.14;2
36.73489;36.20651;318.53;2022-01-02;2308;n;'2.61;2
38.75657;26.9455;305.51;2022-01-02;2308;n;'1.91;2
38.73798;26.94458;299.78;2022-01-02;2308;n;'1.76;2
37.64367;38.09708;316.86;2022-01-02;2308;n;'1.75;0
38.4281;27.21349;299.28;2022-01-02;2308;n;'1.00;2
37.27758;38.73167;298.04;2022-01-02;2308;n;'0.79;2
37.35051;37.16311;296.48;2022-01-02;2308;n;'0.89;2
37.29659;37.15763;305.1;2022-01-02;2308;n;'1.10;2
37.29305;37.15691;297.47;2022-01-02;2308;n;'1.10;2
37.8647;29.37066;303.21;2022-01-02;2308;n;'0.99;2
37.86264;29.37141;296.98;2022-01-02;2308;n;'0.97;2
41.26615;31.42239;312.46;2022-01-03;0047;n;'2.16;2
40.76711;29.52804;297.72;2022-01-03;0047;n;'1.52;2
41.01999;28.55362;314.33;2022-01-03;0047;n;'1.22;2
41.02364;28.55354;297.28;2022-01-03;0047;n;'0.96;2
39.48471;30.03917;309.31;2022-01-03;0048;n;'2.07;2
39.48549;30.03957;311.41;2022-01-03;0048;n;'1.83;2
39.86668;26.24195;300.4;2022-01-03;0048;n;'1.45;2
38.81146;26.94344;322.61;2022-01-03;0048;n;'1.71;0
38.75616;26.94829;305.93;2022-01-03;0048;n;'1.01;2
38.7552;26.95197;309.17;2022-01-03;0048;n;'1.01;2
38.74551;26.94764;301.65;2022-01-03;0048;n;'1.07;2
38.73584;26.96389;309.63;2022-01-03;0048;n;'0.93;2
38.73579;26.9434;301.34;2022-01-03;0048;n;'0.85;2
38.74539;26.9313;295.16;2022-01-03;0048;n;'0.58;2
38.74168;26.94582;298.83;2022-01-03;0048;n;'0.89;2
38.7368;26.94377;307.08;2022-01-03;0048;n;'0.89;2
38.7322;26.96179;303.79;2022-01-03;0048;n;'1.00;2
38.72898;26.9321;300.88;2022-01-03;0048;n;'0.56;2
38.45483;27.26015;297.51;2022-01-03;0048;n;'0.55;2
38.42638;27.21408;300.5;2022-01-03;0048;n;'0.63;2
37.1257;40.45054;331.37;2022-01-03;1028;n;'3.22;0
37.10186;40.23655;327.3;2022-01-03;1028;n;'2.18;0
36.95518;40.29782;332.16;2022-01-03;1028;n;'16.56;0
36.95866;40.29713;333.32;2022-01-03;1028;n;'16.56;0
36.86582;39.43042;339.58;2022-01-03;1028;n;'40.31;0
36.8692;39.42971;340.12;2022-01-03;1028;n;'10.51;0
37.00877;40.25999;335.76;2022-01-03;1028;n;'3.25;0
37.13396;40.95451;325.96;2022-01-03;1028;n;'3.83;0
37.13005;40.48479;328.82;2022-01-03;1028;n;'3.04;0
37.14563;39.93176;339.07;2022-01-03;1029;n;'3.94;0
37.05008;39.71126;327.01;2022-01-03;1029;n;'1.15;0
37.1092;40.14364;345.32;2022-01-03;1029;n;'7.25;0
37.11386;40.15247;337.89;2022-01-03;1029;n;'4.32;0
37.12304;40.14087;328.55;2022-01-03;1029;n;'2.67;0
37.15571;40.37168;345.6;2022-01-03;1029;n;'5.75;0
37.1265;40.14017;328.26;2022-01-03;1029;n;'2.67;0
37.18588;40.27132;325.33;2022-01-03;1029;n;'2.11;0
37.22686;40.74234;335.73;2022-01-03;1029;n;'4.54;0
38.46462;34.19556;325.04;2022-01-03;1029;n;'11.61;0
38.65433;39.77465;328.08;2022-01-03;1029;n;'3.51;2
37.4473;37.39359;329.97;2022-01-03;1029;n;'2.95;0
36.77337;35.31647;344.24;2022-01-03;1029;n;'4.73;0
36.88549;36.13535;328.21;2022-01-03;1029;n;'3.02;0
36.74485;36.19633;328.74;2022-01-03;1029;n;'1.79;2
37.21177;39.90592;331.61;2022-01-03;1029;n;'3.15;0
37.20092;40.19418;330.52;2022-01-03;1029;n;'2.92;0
38.96352;29.33885;326.82;2022-01-03;1030;n;'2.00;0
41.24099;36.46429;329.92;2022-01-03;1030;n;'2.50;2
41.25368;31.41464;328.82;2022-01-03;1030;n;'2.53;2
37.27898;38.72855;300.91;2022-01-03;2249;n;'1.22;2
37.2953;37.15782;295.31;2022-01-03;2249;n;'1.62;2
36.26663;33.72693;307.43;2022-01-03;2249;n;'1.07;2
36.26772;33.72795;304.88;2022-01-03;2249;n;'0.76;2
36.7416;36.21091;297.37;2022-01-03;2249;n;'2.55;2
36.74199;36.21191;300.35;2022-01-03;2249;n;'2.04;2
36.86965;34.76089;296.82;2022-01-03;2249;n;'0.36;2
37.29447;37.15612;302.15;2022-01-03;2249;n;'1.40;2
38.73811;26.94391;296.84;2022-01-04;0029;n;'1.10;2
38.7536;26.94941;313.43;2022-01-04;0029;n;'2.16;2
38.74107;26.94958;301.63;2022-01-04;0029;n;'1.19;2
38.73221;26.9326;298.07;2022-01-04;0029;n;'0.76;2
40.44599;27.13602;328.66;2022-01-04;1152;n;'2.61;3
37.02084;36.10462;305.13;2022-01-04;2230;n;'1.86;2
36.26414;33.72285;296.28;2022-01-04;2230;n;'0.44;0
36.73504;36.20818;297.9;2022-01-04;2230;n;'2.29;2
38.65608;39.7692;329.84;2022-01-04;2230;n;'3.29;2
37.27666;38.7286;304.36;2022-01-04;2230;n;'0.97;2
37.29785;37.15297;295.69;2022-01-04;2230;n;'0.58;2
36.86843;34.75568;295.28;2022-01-04;2230;n;'1.25;2
36.73528;36.20215;297.29;2022-01-04;2230;n;'2.52;2
41.24212;36.46292;304.31;2022-01-05;0009;n;'1.57;2
41.24276;36.46336;301.47;2022-01-05;0009;n;'1.43;2
40.78054;29.59927;300.31;2022-01-05;0010;n;'0.88;2
40.75889;29.36051;296.61;2022-01-05;0010;n;'0.76;2
40.18556;29.22401;295.17;2022-01-05;0010;n;'0.56;2
40.44677;27.14079;300.0;2022-01-05;0010;n;'1.45;3
40.44501;27.1308;313.2;2022-01-05;0010;n;'0.99;2
40.44349;27.13984;316.46;2022-01-05;0010;n;'1.45;2
39.48367;30.03906;302.13;2022-01-05;0010;n;'1.34;2
39.86554;26.2437;310.02;2022-01-05;0010;n;'1.32;2
41.26611;31.42059;325.86;2022-01-05;0010;n;'4.04;3
41.79869;26.70274;298.05;2022-01-05;0010;n;'0.86;2
40.76589;32.21386;311.4;2022-01-05;0010;n;'1.39;2
41.25635;31.41084;318.68;2022-01-05;0010;n;'1.32;2
41.26712;31.42197;322.21;2022-01-05;0010;n;'3.14;2
40.7641;32.2191;311.44;2022-01-05;0010;n;'2.56;2
41.01902;28.55662;297.42;2022-01-05;0010;n;'0.62;2
38.75513;26.95333;296.23;2022-01-05;0011;n;'0.60;2
37.0209;36.10599;302.52;2022-01-05;0011;n;'0.65;2
36.75103;36.21864;296.28;2022-01-05;0011;n;'0.65;2
38.74192;26.94962;308.13;2022-01-05;0011;n;'1.28;2
38.73938;26.94422;330.11;2022-01-05;0011;n;'1.50;2
36.74583;36.19565;328.8;2022-01-05;0011;n;'2.00;2
38.74168;26.93082;305.17;2022-01-05;0011;n;'0.65;2
38.73862;26.9487;305.1;2022-01-05;0011;n;'1.50;2
38.73838;26.92989;296.55;2022-01-05;0011;n;'0.65;2
38.73608;26.94331;299.84;2022-01-05;0011;n;'1.50;2
38.73226;26.96564;296.65;2022-01-05;0011;n;'0.53;2
36.73674;36.20901;313.74;2022-01-05;0011;n;'1.56;2
36.73165;36.20706;306.82;2022-01-05;0011;n;'1.26;2
