date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2023-01-01;2023;1;1;6;1;52;True;False;False
2023-01-02;2023;1;2;0;2;1;False;False;False
2023-01-03;2023;1;3;1;3;1;False;False;False
2023-01-04;2023;1;4;2;4;1;False;False;False
2023-01-05;2023;1;5;3;5;1;False;False;False
2023-01-06;2023;1;6;4;6;1;False;False;False
2023-01-07;2023;1;7;5;7;1;True;False;False
2023-01-08;2023;1;8;6;8;1;True;False;False
2023-01-09;2023;1;9;0;9;2;False;False;False
2023-01-10;2023;1;10;1;10;2;False;False;False
2023-01-11;2023;1;11;2;11;2;False;False;False
2023-01-12;2023;1;12;3;12;2;False;False;False
2023-01-13;2023;1;13;4;13;2;False;False;False
2023-01-14;2023;1;14;5;14;2;True;False;False
2023-01-15;2023;1;15;6;15;2;True;False;False
2023-01-16;2023;1;16;0;16;3;False;False;False
2023-01-17;2023;1;17;1;17;3;False;False;False
2023-01-18;2023;1;18;2;18;3;False;False;False
2023-01-19;2023;1;19;3;19;3;False;False;False
2023-01-20;2023;1;20;4;20;3;False;False;False
2023-01-21;2023;1;21;5;21;3;True;False;False
2023-01-22;2023;1;22;6;22;3;True;False;False
2023-01-23;2023;1;23;0;23;4;False;False;False
2023-01-24;2023;1;24;1;24;4;False;False;False
2023-01-25;2023;1;25;2;25;4;False;False;False
2023-01-26;2023;1;26;3;26;4;False;False;False
2023-01-27;2023;1;27;4;27;4;False;False;False
2023-01-28;2023;1;28;5;28;4;True;False;False
2023-01-29;2023;1;29;6;29;4;True;False;False
2023-01-30;2023;1;30;0;30;5;False;False;False
2023-01-31;2023;1;31;1;31;5;False;False;False
2023-02-01;2023;2;1;2;32;5;False;False;False
2023-02-02;2023;2;2;3;33;5;False;False;False
2023-02-03;2023;2;3;4;34;5;False;False;False
2023-02-04;2023;2;4;5;35;5;True;False;False
2023-02-05;2023;2;5;6;36;5;True;False;False
2023-02-06;2023;2;6;0;37;6;False;False;False
2023-02-07;2023;2;7;1;38;6;False;False;False
2023-02-08;2023;2;8;2;39;6;False;False;False
2023-02-09;2023;2;9;3;40;6;False;False;False
2023-02-10;2023;2;10;4;41;6;False;False;False
2023-02-11;2023;2;11;5;42;6;True;False;False
2023-02-12;2023;2;12;6;43;6;True;False;False
2023-02-13;2023;2;13;0;44;7;False;False;False
2023-02-14;2023;2;14;1;45;7;False;False;False
2023-02-15;2023;2;15;2;46;7;False;False;False
2023-02-16;2023;2;16;3;47;7;False;False;False
2023-02-17;2023;2;17;4;48;7;False;False;False
2023-02-18;2023;2;18;5;49;7;True;False;False
2023-02-19;2023;2;19;6;50;7;True;False;False
2023-02-20;2023;2;20;0;51;8;False;False;False
2023-02-21;2023;2;21;1;52;8;False;False;False
2023-02-22;2023;2;22;2;53;8;False;False;False
2023-02-23;2023;2;23;3;54;8;False;False;False
2023-02-24;2023;2;24;4;55;8;False;False;False
2023-02-25;2023;2;25;5;56;8;True;False;False
2023-02-26;2023;2;26;6;57;8;True;False;False
2023-02-27;2023;2;27;0;58;9;False;False;False
2023-02-28;2023;2;28;1;59;9;False;False;False
2023-03-01;2023;3;1;2;60;9;False;False;False
2023-03-02;2023;3;2;3;61;9;False;False;False
2023-03-03;2023;3;3;4;62;9;False;False;False
2023-03-04;2023;3;4;5;63;9;True;False;False
2023-03-05;2023;3;5;6;64;9;True;False;False
2023-03-06;2023;3;6;0;65;10;False;False;False
2023-03-07;2023;3;7;1;66;10;False;False;False
2023-03-08;2023;3;8;2;67;10;False;False;False
2023-03-09;2023;3;9;3;68;10;False;False;False
2023-03-10;2023;3;10;4;69;10;False;False;False
2023-03-11;2023;3;11;5;70;10;True;False;False
2023-03-12;2023;3;12;6;71;10;True;False;False
2023-03-13;2023;3;13;0;72;11;False;False;False
2023-03-14;2023;3;14;1;73;11;False;False;False
2023-03-15;2023;3;15;2;74;11;False;False;False
2023-03-16;2023;3;16;3;75;11;False;False;False
2023-03-17;2023;3;17;4;76;11;False;False;False
2023-03-18;2023;3;18;5;77;11;True;False;False
2023-03-19;2023;3;19;6;78;11;True;False;False
2023-03-20;2023;3;20;0;79;12;False;False;False
2023-03-21;2023;3;21;1;80;12;False;False;False
2023-03-22;2023;3;22;2;81;12;False;False;False
2023-03-23;2023;3;23;3;82;12;False;False;False
2023-03-24;2023;3;24;4;83;12;False;False;False
2023-03-25;2023;3;25;5;84;12;True;False;False
2023-03-26;2023;3;26;6;85;12;True;False;False
2023-03-27;2023;3;27;0;86;13;False;False;False
